InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV529767,SKU1441,Product SKU1441,10,2025-01-01,37.16,1443,United Kingdom
INV203976,SKU1560,Product SKU1560,4,2025-01-01,85.86,1414,United Kingdom
INV270102,SKU1035,Product SKU1035,6,2025-01-01,34.4,1041,United Kingdom
INV836152,SKU1810,Product SKU1810,4,2025-01-01,340.87,1377,United Kingdom
INV200158,SKU1950,Product SKU1950,7,2025-01-01,38.19,1014,United Kingdom
INV466824,SKU1524,Product SKU1524,10,2025-01-01,457.69,1006,United Kingdom
INV397225,SKU1491,Product SKU1491,14,2025-01-01,281.71,1171,United Kingdom
INV657639,SKU1432,Product SKU1432,2,2025-01-01,27.12,1286,United Kingdom
INV931538,SKU1685,Product SKU1685,13,2025-01-01,36.58,1003,United Kingdom
INV381787,SKU1056,Product SKU1056,3,2025-01-01,22.15,1228,United Kingdom
INV913725,SKU1030,Product SKU1030,2,2025-01-02,104.03,1456,United Kingdom
INV517216,SKU1360,Product SKU1360,12,2025-01-02,346.78,1148,United Kingdom
INV469673,SKU1434,Product SKU1434,13,2025-01-02,278.88,1190,United Kingdom
INV275793,SKU1937,Product SKU1937,2,2025-01-02,209.26,1334,United Kingdom
INV831893,SKU1722,Product SKU1722,1,2025-01-02,381.63,1145,United Kingdom
INV510354,SKU1297,Product SKU1297,3,2025-01-02,44.28,1230,United Kingdom
INV822969,SKU1313,Product SKU1313,14,2025-01-03,88.71,1236,United Kingdom
INV345620,SKU1498,Product SKU1498,14,2025-01-03,83.73,1454,United Kingdom
INV209996,SKU1142,Product SKU1142,8,2025-01-03,42.98,1028,United Kingdom
INV895326,SKU1630,Product SKU1630,3,2025-01-03,32.13,1060,United Kingdom
INV904462,SKU1919,Product SKU1919,14,2025-01-03,399.85,1006,United Kingdom
INV714229,SKU1074,Product SKU1074,3,2025-01-03,25.81,1215,United Kingdom
INV186928,SKU1706,Product SKU1706,14,2025-01-03,106.18,1332,United Kingdom
INV813087,SKU1691,Product SKU1691,6,2025-01-03,39.17,1107,United Kingdom
INV252360,SKU1700,Product SKU1700,10,2025-01-03,275.44,1037,United Kingdom
INV788499,SKU1687,Product SKU1687,14,2025-01-03,52.18,1184,United Kingdom
INV924837,SKU1093,Product SKU1093,8,2025-01-03,183.67,1100,United Kingdom
INV930686,SKU1338,Product SKU1338,6,2025-01-04,89.17,1138,United Kingdom
INV849130,SKU1914,Product SKU1914,10,2025-01-04,152.29,1486,United Kingdom
INV942393,SKU1442,Product SKU1442,13,2025-01-04,33.73,1020,United Kingdom
INV247745,SKU1953,Product SKU1953,1,2025-01-04,63.13,1106,United Kingdom
INV978584,SKU1244,Product SKU1244,6,2025-01-04,121.62,1332,United Kingdom
INV330487,SKU1663,Product SKU1663,3,2025-01-04,74.95,1381,United Kingdom
INV409815,SKU1554,Product SKU1554,4,2025-01-04,418.09,1377,United Kingdom
INV941052,SKU1982,Product SKU1982,9,2025-01-04,79.03,1027,United Kingdom
INV377342,SKU1914,Product SKU1914,8,2025-01-04,47.11,1206,United Kingdom
INV633660,SKU1761,Product SKU1761,1,2025-01-04,433.28,1299,United Kingdom
INV117718,SKU1322,Product SKU1322,3,2025-01-04,124.03,1356,United Kingdom
INV807910,SKU1410,Product SKU1410,2,2025-01-04,40.29,1160,United Kingdom
INV806168,SKU1848,Product SKU1848,13,2025-01-04,28.41,1421,United Kingdom
INV133298,SKU1682,Product SKU1682,2,2025-01-05,99.38,1362,United Kingdom
INV308281,SKU1414,Product SKU1414,6,2025-01-05,199.9,1205,United Kingdom
INV561227,SKU1539,Product SKU1539,5,2025-01-05,41.69,1047,United Kingdom
INV191088,SKU1184,Product SKU1184,4,2025-01-05,28.67,1091,United Kingdom
INV343322,SKU1842,Product SKU1842,1,2025-01-05,141.17,1010,United Kingdom
INV977200,SKU1613,Product SKU1613,4,2025-01-05,92.56,1090,United Kingdom
INV999105,SKU1792,Product SKU1792,1,2025-01-05,80.4,1463,United Kingdom
INV734965,SKU1175,Product SKU1175,2,2025-01-05,364.65,1042,United Kingdom
INV306717,SKU1839,Product SKU1839,5,2025-01-05,65.54,1218,United Kingdom
INV667201,SKU1778,Product SKU1778,9,2025-01-05,123.27,1056,United Kingdom
INV401286,SKU1201,Product SKU1201,5,2025-01-05,35.86,1435,United Kingdom
INV592108,SKU1160,Product SKU1160,1,2025-01-05,112.15,1347,United Kingdom
INV374907,SKU1977,Product SKU1977,5,2025-01-06,49.99,1001,United Kingdom
INV741844,SKU1144,Product SKU1144,10,2025-01-06,28.89,1360,United Kingdom
INV746465,SKU1468,Product SKU1468,12,2025-01-06,93.39,1008,United Kingdom
INV736712,SKU1951,Product SKU1951,5,2025-01-06,389.97,1312,United Kingdom
INV607704,SKU1031,Product SKU1031,6,2025-01-06,45.49,1466,United Kingdom
INV768629,SKU1570,Product SKU1570,1,2025-01-06,53.66,1149,United Kingdom
INV242482,SKU1184,Product SKU1184,6,2025-01-06,218.26,1145,United Kingdom
INV498731,SKU1623,Product SKU1623,6,2025-01-06,60.94,1170,United Kingdom
INV890857,SKU1775,Product SKU1775,1,2025-01-07,36.63,1018,United Kingdom
INV442703,SKU1840,Product SKU1840,2,2025-01-07,53.74,1026,United Kingdom
INV261081,SKU1817,Product SKU1817,7,2025-01-07,53.54,1124,United Kingdom
INV462544,SKU1538,Product SKU1538,1,2025-01-07,28.28,1227,United Kingdom
INV294692,SKU1747,Product SKU1747,13,2025-01-07,448.74,1032,United Kingdom
INV459701,SKU1849,Product SKU1849,2,2025-01-07,179.06,1168,United Kingdom
INV601477,SKU1668,Product SKU1668,5,2025-01-07,64.33,1253,United Kingdom
INV452621,SKU1634,Product SKU1634,11,2025-01-07,49.6,1167,United Kingdom
INV632259,SKU1550,Product SKU1550,4,2025-01-07,84.21,1352,United Kingdom
INV740159,SKU1240,Product SKU1240,3,2025-01-07,38.95,1361,United Kingdom
INV938387,SKU1825,Product SKU1825,14,2025-01-07,65.65,1099,United Kingdom
INV193878,SKU1480,Product SKU1480,6,2025-01-08,402.17,1409,United Kingdom
INV125968,SKU1045,Product SKU1045,8,2025-01-08,52.34,1402,United Kingdom
